Nome aceito,Cidade,Estado,País,Latitude,Longitude
Luffa operculata,Ouro Preto,Minas Gerais,Brasil, -20.2875003814697, -43.5080986022949
Luffa operculata,Lavras da Mangabeira,Ceará,Brasil, -6.71441111111111, -38.9136833333333
Luffa operculata, Rua Joana Pereira da Silva, 182.,Feira de Santana,Bahia,Brasil
Luffa operculata, Lago grande do Janauacá.,Manaquiri,Amazonas,Brasil, -3.42806
Luffa operculata,,,Brasil,,
Luffa operculata,Ouro Preto,Minas Gerais,Brasil, -20.3, -43.716667
Luffa operculata,Autazes,Amazonas,Brasil, -3.57972, -59.1306
Luffa operculata,,Goiás,Brazil,,
Luffa operculata,,,?,,
Luffa operculata, Igarapé do São Raimundo, perto da ponte,Manaus,Amazonas,Brasil
Luffa operculata,Cachoeira,Bahia,Brasil, -12.6183004379272, -38.9557991027832
Luffa operculata, Brasil, minais Gerais, ad Barrieras Arraial Serro Frio,,
Luffa operculata, Fazenda Taipus de Fora,Maraú,Bahia,Brasil, -13.943056
Luffa operculata, along beach from house (W side) to Punta Casa Vieja (S side),,,Nicarágua, 12.333333
Luffa operculata,Maraã,Amazonas,Brasil, -1.85611, -65.5811
Luffa operculata, near Rio Jacaré,,Amazonas,Brasil,
Luffa operculata,Goiânia,Goiás,Brasil, -16.6786003112793, -49.2538986206055
Luffa operculata, Igarapé do São Raimundo, perto da ponte,Manaus,Amazonas,Brasil
Luffa operculata,Cachoeira,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,Poconé,Mato Grosso,Brasil, -16.2567, -56.6228
Luffa operculata,Guacumba,CE,Brasil,,
Luffa operculata,Manaus,Amazonas,Brasil, -3.10194, -60.025
Luffa operculata,Cabrobó,Pernambuco,Brasil, -8.38605833333333, -39.3291194444444
Luffa operculata,Monsenhor Gil,Piauí,Brasil, -5.56416988372803, -42.6077995300293
Luffa operculata,,,?,,
Luffa operculata, Sítio Canabrava, ca. de 3 Km a esqueda da rodovia BR-405, sentido Major Felipe-José da Penha,José da Penha,Rio Grande do Norte
Luffa operculata, 14.4 km SW of Itaju do ColÃ#?#nia on road to Rio do Meio, then 2.7 km to edge of forest,ItororÃ³,Bahia,Brasil
Luffa operculata, Margem do Rio Jaurú.,Cáceres,Mato Grosso,Brasil, -16.0706005096436
Luffa operculata, Brasil, minais Gerais, ad Barrieras Arraial Serro Frio,,
Luffa operculata,,Maranhão,Brasil,,
Luffa operculata, próximo às comunidades de São João e Marirana.,Uarini,Amazonas,Brasil, -2.633333
Luffa operculata, Lote 11, Estrada entre o Cemitério e o canal do PISF,Custódia,Pernambuco,Brasil
Luffa operculata, In sylvis ad Ega prov. do Alto Amazonas.,Tefé,Amazonas,Brazil, -3.35417
Luffa operculata,Piracicaba,São Paulo,Brasil, -22.725278, -47.649167
Luffa operculata,Cachoeira,Bahia,Brasil, -12.6183, -38.9558
Luffa operculata,Caxingó,Piauí,Brasil, -3.358944, -41.778194
Luffa operculata,,,Peru,,
Luffa operculata,Curitiba,Paraná,Brasil,,
Luffa operculata, Porto Cercado, sub-região de Poconé, Pantanal.,Poconé,Mato Grosso
Luffa operculata,São José de Piranhas,Paraíba,Brasil, -7.10266666666667, -38.6291944444444
Luffa operculata, path along bank between Leticia and El Marco,,Amazonas,Brasil,
Luffa operculata,Cabrobó,Pernambuco,Brasil, -8.29427777777778, -39.3609444444444
Luffa operculata,Oriximiná,Pará,Brasil, -15.003056, -55.86125
Luffa operculata,Acarape,Ceará,Brasil, -4.22417020797729, -38.7083015441895
Luffa operculata,Piracicaba,São Paulo,Brasil, -22.725278, -47.649167
Luffa operculata,,,?,,
Luffa operculata,Novo Oriente,CE,Brasil, -5.53444004058838, -40.7742004394531
Luffa operculata,,,?,,
Luffa operculata,São Mateus,Espírito Santo,Brasil, -18.716100692749, -39.8588981628418
Luffa operculata,Maraú,Bahia,Brasil, -13.943056, -38.930556
Luffa operculata,,,Peru,,
Luffa operculata, zona rural,São José de Piranhas,Paraíba,Brasil, -7.08061111111111
Luffa operculata,,,BRAZIL, -10.8339, -52.8731
Luffa operculata,,,?,,
Luffa operculata,Soure,Pará,Brasil, -0.668956, -48.484525
Luffa operculata, Seringal SÃ£o Clemente, Rio Purus.,Labrea,Amazonas,Brasil
Luffa operculata,ILHÉUS,Bahia,Brasil, -14.7889003753662, -39.0494003295898
Luffa operculata, ad fluviam Magdalena, Laguna d'Iguanime.,,,Brazil
Luffa operculata,Independência,CE,Brasil, -5.39638996124268, -40.3086013793945
Luffa operculata,Acarape,Ceará,Brasil, -4.22417020797729, -38.7083015441895
Luffa operculata,CACHOEIRA,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,,Pernambuco,Brasil,,
Luffa operculata,,,BRAZIL, -10.8339, -52.8731
Luffa operculata,Corumbá,Mato Grosso do Sul,Brasil, -19.0091991424561, -57.6533012390137
Luffa operculata, Taperuaba.,Sobral,Ceará,Brasil, -3.68611001968384
Luffa operculata,Governador Dix-Sept Rosado,Rio Grande do Norte,Brasil, -5.403611, -37.633056
Luffa operculata,Araraquara,São Paulo,Brasil, -21.7900009155273, -48.1699981689453
Luffa operculata, Rio Castanho, margem esquerda do lago,,Amazonas,Brasil
Luffa operculata,,Pará,Brasil,,
Luffa operculata,,,Brasil,,
Luffa operculata,Cachoeira,Bahia,Brasil, -12.533333, -39.083333
Luffa operculata,Goiânia,Goiás,Brasil, -16.6786003112793, -49.2538986206055
Luffa operculata,Cabrobó,Pernambuco,Brasil, -8.44861111111111, -39.4291666666667
Luffa operculata, Rio Ituxi. Rio Purus between Lago Quati and Lago Arima, near Rio Jacare,,Amazonas,Brazil
Luffa operculata, Lago Calado,Manacapuru,Amazonas,Brasil, -3.29972
Luffa operculata,Cabrobó,Pernambuco,Brasil, -8.51417, -39.31
Luffa operculata,Guaiúba,Ceará,Brasil, -4.159222, -38.690444
